无线蜂窝电话通信技术 发展速度 飞速
移动电话用户数 超过 固定电话用户数
全球移动电话普及率 达到 96.8%
计算机网络 反映 移动通信需求
互联网 过去是 PC互联网
现在互联网 应是 移动互联网
无线局域网WLAN 重点讨论 MAC层协议CSMA/CA原理
蜂窝移动通信网 属于 通信领域内容
技术发展 改变 蜂窝移动通信网与计算机网络关联
无线局域网WLAN 包含 移动接入功能
智能手机 成为 计算机网络主机
蜂窝移动通信网 使用 IP技术
无线局域网WLAN 使用 CSMA/CA协议
CSMA/CA协议 区别于 CSMA/CD
无线局域网MAC帧 包含 地址类型
蜂窝移动通信网 与 互联网互连
无线局域网WLAN 发展历史 价格贵、数据传输速率低、安全性较差、使用登记手续复杂
无线局域网WLAN 进入市场时间 20世纪80年代末
无线局域网 简写为 WLAN
无线局域网 提供 移动接入功能
无线局域网 节省 投资
无线局域网 建网速度 较快
便携站 表示 便于移动但位置固定
移动站 表示 能够移动并在移动中通信
无线局域网 分为 两大类
基础设施 包含 有基础设施的和无基础设施的
IEEE802.11 制定于 1997年
WLAN国家标准 颁布时间 2003年5月
WLAN标准 基于 ISO/IEC8802-11系列国际标准
接入点(AP) 是 无线局域网的基础设施
无线局域网 使用 星形拓扑
无线局域网 包含 接入点AP
接入点AP 称为 WAP
接入点AP 功能 链路层设备
接入点AP 到 连接
有线以太网 通过 100Mbit/s或1Gbit/s端口
无线局域网 使用 CSMA/CA协议
Wi-Fi 由 Wi-Fi联盟标记
Wi-Fi 不是 Wireless-Fidelity
Wi-Fi 认证机构 Wi-Fi联盟
产品 注册商标 Wi-Fi联盟
基本服务集BSS 包含 接入点和移动站
接入点 分配 服务集标识符SSID和服务信道
SSID 定义为 使用该AP的无线局域网的名字
Windows系统 包含 控制面板
控制面板 包含 网络和Internet
网络和Internet 链接到 网络和共享中心
网络和共享中心 提供选项 连接到网络
连接到网络 显示 无线局域网的SSID
无线局域网 包含 网络名SSID
设备AP 具有 MAC地址BSSID
基本服务集BSS 定义范围 基本服务区BSA
基本服务区BSA 类比于 蜂窝小区
基本服务区BSA 直径不超过 100米
线局域网 使用频段 2.4GHz和5GHz
信道 定义于 802.llb标准
信道 带宽 约22MHz
相邻信道 中心频率差 5MHz
非重叠信道集合 包括 1,6和11
接入点设备 典型实例 线路由器
服务集接入点 工作参数设置 SSID和信道
基本服务集 组成方式 孤立或通过AP连接
基本服务集 构成 孤立的单个服务集
基本服务集 通过接入点AP连接到 分配系统DS
扩展服务集 由 多个基本服务集组成
扩展服务集 标识符 扩展服务集标识符ESSID
扩展服务集标识符ESSID 长度限制 不超过32字符的字符串名字
分配系统 使 扩展服务集对上层表现像基本服务集一样
分配系统 使用网络类型 以太网、点对点链路或其他线网络
扩展服务集 为用户提供接入 802.x局域网
门户 实现 非802.11线局域网的接入
门户 相当于 扩展服务集内几个不同的基个网桥
移动站 通信通过 接入点
AP1 传输方式 有线
AP1和AP2间 传输方式 有线
移动站B 通信路径 AP1-AP2
扩展服务集 包含 基本服务集
ESSID 标识 扩展服务集
IEEE802.11 包含 基本服务集BSS
IEEE802.11 包含 扩展服务集ESS
基本服务集BSS 覆盖范围由 移动站发射的电磁波确定
接入点AP1和AP2 选择信道 相隔5个或更多信道
移动站A 漫游到位置A1时 能够同时收到两个接入点信号
移动站A 漫游到位置A2时 只能和接入点AP2联系
802.11标准 定义了 漫游的基本工具
移动站 必须与 接入点AP建立关联
已关联的AP 向 移动站发送数据帧
移动站 通过 关联的AP发送数据帧
被动扫描 过程包括 接入点AP周期性发出信标帧
信标帧 包含 服务集标识符SSID以及支持的速率等
移动站A 向 接入点AP2发出关联请求帧
接入点AP2 同意 移动站A关联请求
接入点AP2 发送 关联响应帧给移动站A
移动站A 建立 与接入点AP2的关联
BSS 提供服务 更多移动站
多个接入点AP 安装在 一个BSS内
移动站A 发出 广播的探测请求帧
接入点AP2 回答 探测响应帧给移动站A
主动扫描 步骤包括 多个步骤
基本服务集 包含 接入点
移动站 选择 信号最强的接入点
移动站 可能收到 其他接入点信号
关联建立后 通过 DHCP模块获取IP地址
移动站 发送 DHCP发现报文
关联 使用 802.11关联协议进行对话
移动站 鉴别自身 接入点
接入点 嵌入 DHCP模块
关联建立后 成为 AP子网中的一台主机
移动站 使用 重建关联服务
移动站 使用 分离服务
移动站 可以进行 主动扫描和被动扫描
802.11标准 未规定 选择哪种扫描方式
无线局域网 提供服务 热点(hotspot)
无线局域网 覆盖区域 热区(hotzone)
接入点(AP) 连接 无线局域网
计算机 内置 无线局域网适配器
802.11 实现 物理层和MAC层功能
WEP 加密方案 有线等效的保密
WPA 加密方案 无线局域网受保护
无线局域网 包含 接入点AP
自组网络 又叫作 adhoc网络
自组网络 没有 固定基础设施
自组网络 由 移动站相互通信组成
自组网络 通信方式 存储转发
自组网络 涉及 路由选择协议
自组网络 需要 多播协议
自组网络 面临 安全问题
移动自组网络 包含节点类型 转发节点
移动自组网络 具备功能 路由器转发分组
移动自组网络 应用场景 军事领域通信
移动自组网络 应用场景 地面车辆群通信
移动自组网络 应用场景 舰艇群通信
移动自组网络 应用场景 机群通信
移动自组网络 应用场景 信息交换
移动自组网络 应用场景 抢险救灾通信
无线传感器网络WSN 属于子集 移动自组网络
无线传感器网络 属于 自组网络
无线传感器网络 用于 数据采集、处理和传输
无线传感器网络 要求 低功耗
无线传感器网络 限制 协议栈大小
无线传感器网络 需要 网络安全
无线传感器网络 要求 节点自动配置
无线传感器网络 要求 网络动态重组
处理器 广泛应用于 家电设备、运输工具以及工厂的机器
物联网(IoT) 包含 环境监测与保护
物联网(IoT) 包含 战争中对敌情的侦查
传感器节点 组成部分 CPU、存储器、传感器硬件、无线收发器和电池
线传感器网络 应用于 医疗监测
线传感器网络 应用于 工业安全监测
线传感器网络 应用于 城市交通管理
线传感器网络 应用于 建筑环境控制
移动自组网络 与 移动IP不同
移动自组网络 具有 特定路由选择协议
末梢网络 工作模式 通信进入和发出但不允许外部穿越
固定接入 属于 网络用户
移动接入 允许 车辆速度通信
便携接入 适用于 受限网络覆盖面积
游牧接入 要求 地理位置不变
802.11局域网 包含复杂 物理层
802.llb 属于 早期无线局域网标准
802.lla/g 属于 双模适配器
802.1la/b/g/n/ac 属于 多模适配器
Wi-Fi4/5/6 作为别名 802.1ln/ac/ax
Wi-Fi1/2/3 作为别名 早期无线局域网标准
802.11b 标准别名 Wi-Fi
802.11b 频段 24GHz
802.11b 最高数据率 11Mbit/s
802.11b 物理层技术 扩频
802.11a 标准别名 Wi-Fi
802.11a 频段 25GHz
802.11a 最高数据率 54Mbit/s
802.11a 物理层技术 OFDM
802.11g 标准别名 Wi-Fi
802.11g 频段 324GHz
802.11g 最高数据率 54Mbit/s
802.11g 物理层技术 OFDM
802.11n 标准别名 Wi-Fi
802.11n 频段 424GHz
802.11n 最高数据率 600Mbit/s
802.11n 物理层技术 OFDM
802.11ac 标准别名 Wi-Fi
802.11ac 频段 55GHz
802.11ac 最高数据率 7Gbit/s
802.11ax 标准别名 Wi-Fi
802.11ax 频段 24GHz
802.11ax 最高数据率 96Gbit/s
802.11ax 物理层技术 MIMO
802.11ax 侧重解决 密货环境下提高吞吐量密度
MIMO 侧重解决 密货环境下提高吞吐量密度
OFDM 提高 单位面积的吞吐量
802.11ax 向下兼容 802.11a/b/g/n/ac
802.11ax 解决的问题 保持手机的畅通在密集环境下
EHT 最高数据率有望达到 30Gbit/s
EHT 特点 降低延迟和抖动
Wi-Fi7 对应标准 802.11be
Wi-Fi7 目标 实时游戏
802.11 工作频段 900MHz
802.11 最高数据率 18Mbit/s
802.11 传输距离 1km
802.11 最初使用技术 跳频扩频FHSS
802.11 最初使用技术 红外技术IR
HiperLAN 由 ETSI RESlO工作组
HiperLAN 与 IEEE标准互操作
802.11 使用 MAC层协议
CSMA/CA 应用于 802.11局域网的MAC层
CSMA/CD 不适用于 线局域网
碰撞检测 要求 不间断地检测信道
OFDM 是 正交频分复用的缩写
MIMO 是 多入多出的缩写
MIMO 实现 空间分集
MIMO 使用 最多4个发射天线和4个接收天线
802.11适配器 实现 碰撞检测
信号强度 范围 动态变化大
电磁波 传播特性 向所有方向传播，距离有限
隐蔽站问题 描述 移动站在传输过程中遇到障碍物时的信号传播受限现象
隐蔽站问题 导致 碰撞
站点A 是 C的隐蔽站
站点C 是 A的隐蔽站
移动站之间有障碍物 可能导致 隐蔽站问题
CSMA/CD 包含要点 发送前检测信道
CSMA/CD 包含要点 边发送边检测信道
CSMA/CD 包含要点 发现碰撞立即停止发送并退避重传
以太网局域网 使用协议 CSMA
以太网局域网 无法实现 碰撞检测
以太网局域网 导致问题 信道资源浪费严重
802.11局域网 使用 CSMA/CA协议
CSMA/CA协议 包含 CollisionAvoidance
CSMA/CA协议 与 以太网不同
802.11局域网 使用 停止等待协议
链路层确认 用于 解决碰撞后重传
802.11 包含 MAC层
MAC层 包括 两个子层
DCF 是 分布协调功能
DCF 采用 CSMA机制
DCF 提供 争用服务
802.11标准 规定 所有实现必须有DCF功能
DCF 定义了 两个时间间隔
两个时间间隔 包括 短帧间间隔SIFS
功能帧间间隔 定义于 802.11标准
点协调功能PCF 用于 集中控制BSS内的活动
自组网络 没有 PCF子层
CSMA/CA协议 复杂度 较高
IEEE 802.11-2007标准 包含页数 1232页
时间间隔DIFS 用于防止碰撞 802.11标准
站点A 发送数据帧DATA 给站点B
站点B 发回确认ACK 给站点A
SIFS 用于检验差错 CRC检验
虚拟载波监听 实现机制 软件
站点A 发送数据时间 写入DATA帧首部
NAV 表示 信道忙持续时间
载波监听 实现机制 硬件
信号强度 判断依据 其他移动站发送数据
DCFIFS 定义了 信道空闲时间
SIFS 表示 短的信道空闲间隔
DIFS 比 SIFS更长的时间间隔
ACK 保证优先发送 确认帧
CSMA/CA 规定了 统一的退避算法
站点C和D 检测到 信道忙
争用期 等于 争用窗口
争用窗口 包含 时隙
争用窗口大小 为 15个时隙
时隙长度 由 信道忙检测确定
802.11标准 规定 一个时隙时间为9µs
SIFS 等于 10µs
DIFS 比 SIFS多两个时隙
退避算法 规定了 站点在进入争用期时的随机生成退避时隙数
站点C 退避时隙数为 3
站点D 退避时隙数为 9
站点C 在经过 3个退避时隙后获得发送权
信道 转为 忙状态
站点D 冻结其剩余的 6个退避时隙
推迟接入 发生在 信道处于忙的状态
退避计时器 在冻结状态 等待争用期的到来
站点D 推迟到下一个 争用信道时间的到来
退避计时器 进行倒计时 在信道空闲且处于DIFS后面的时间间隔中
802.11标准 规定 争用窗口CW的初始值
CSMA/CA协议 要求 未收到确认帧时重传
争用窗口CW 初始值建议 最小15，最大1023
随机退避时隙数 范围变化 重传次数增加而增大
DIFS 信道空闲检测阈值 立即发送数据
发送数据 必须经过 争用期的公平竞争
未收到确认的数据帧 需要重传 数据帧
连续发送数据 必须进入 争用期
随机退避时隙数 可能导致 碰撞
